,index,variable,value
0,gin,tequila,0.24618298195866545
1,orange juice,tequila,0.6123724356957945
2,grenadine,tequila,0.8703882797784892
3,lemon/lime,tequila,0.5247361959576216
4,salt,tequila,0.6831300510639733
5,grapefruit juice,tequila,0.9999999999999999
6,triple sec,tequila,0.3149183286488868
7,ice,tequila,0.9607689228305226
8,cocoa powder,milk,0.49999999999999994
9,nutmeg,milk,0.3020792700095994
10,chocolate,milk,0.3611575592573076
11,rum,milk,0.5888015039841447
12,kahlua,milk,0.944911182523068
13,sugar,milk,0.623903005188754
14,cinnamon,milk,0.9925232596048371
15,chocolate syrup,milk,0.2773500981126146
16,vermouth,maraschino liqueur,0.3333333333333333
17,orange bitters,maraschino liqueur,0.7071067811865475
18,gin,water,0.917662935482247
19,vodka,water,0.6741861961113021
20,cloves,water,0.5
21,sugar,water,0.3602232346689459
22,food coloring,water,0.8660254037844386
23,milk,cocoa powder,0.49999999999999994
24,tequila,gin,0.24618298195866545
25,water,gin,0.917662935482247
26,lemon peel,gin,0.38665772366627527
27,orange peel,gin,0.3779644730092272
28,lemon/lime,gin,0.29796881542704345
29,blue curacao,gin,0.8660254037844385
30,powdered sugar,gin,0.86991767240168
31,sugar,gin,0.46101535189253157
32,triple sec,gin,0.48663925173797884
33,coca-cola,gin,0.6546536707079772
34,benedictine,gin,0.5
35,cherry,gin,0.6153846153846154
36,orange juice,amaretto,0.7276068751089989
37,rum,amaretto,0.40451991747794525
38,light cream,amaretto,0.6666666666666667
39,gin,lemon peel,0.38665772366627527
40,rum,lemon peel,0.5773502691896257
41,scotch,lemon peel,0.5773502691896258
42,lemon/lime,lemon peel,0.7071067811865475
43,powdered sugar,lemon peel,0.9486832980505138
44,sugar,lemon peel,0.4225771273642583
45,vermouth,lemon peel,0.46562238031506015
46,bourbon,lemon peel,0.870571500132014
47,lemon/lime,angostura bitters,0.8283721253590283
48,tequila,orange juice,0.6123724356957945
49,amaretto,orange juice,0.7276068751089989
50,red wine,orange juice,0.9684959969581862
51,vodka,orange juice,0.21234616886747062
52,grenadine,orange juice,0.5561050666251612
53,rum,orange juice,0.520475740526292
54,cranberry juice,orange juice,0.2988071523335984
55,lemon/lime,orange juice,0.677702829561266
56,sugar,orange juice,0.22941573387056174
57,pineapple juice,orange juice,0.4743589743589742
58,brandy,orange juice,0.7789711910621947
59,ice,orange juice,0.4700633956814718
60,campari,orange juice,0.8660254037844387
61,orange juice,red wine,0.9684959969581862
62,brandy,red wine,0.5960395606792697
63,vodka,chambord raspberry liqueur,0.3273268353539886
64,water,vodka,0.6741861961113021
65,orange juice,vodka,0.21234616886747062
66,chambord raspberry liqueur,vodka,0.3273268353539886
67,sweet and sour,vodka,0.9258200997725514
68,soda water,vodka,0.26352313834736496
69,cranberry juice,vodka,0.4475633910915675
70,ginger ale,vodka,0.5773502691896258
71,lemon/lime,vodka,0.3119201586577675
72,blue curacao,vodka,0.3273268353539886
73,sugar,vodka,0.30543589044427627
74,peach schnapps,vodka,0.5252257314388903
75,club soda,vodka,0.9707253433941511
76,coffee,vodka,0.8660254037844387
77,brandy,vodka,0.8660254037844385
78,lemon/lime,ginger,0.541283479221423
79,gin,orange peel,0.3779644730092272
80,lemon/lime,orange peel,0.7559289460184545
81,campari,orange peel,0.9432422182837986
82,tequila,grenadine,0.8703882797784892
83,orange juice,grenadine,0.5561050666251612
84,pineapple,grenadine,0.9762210399274298
85,rum,grenadine,0.36851386559504434
86,lemon/lime,grenadine,0.23747841070424022
87,powdered sugar,grenadine,0.7559289460184545
88,pineapple juice,grenadine,0.332154431909686
89,brandy,grenadine,0.7777777777777778
90,egg white,grenadine,0.40824829046386296
91,carbonated water,grenadine,0.5
92,lemon/lime,whiskey,0.6892583559103141
93,powdered sugar,whiskey,0.6123724356957946
94,grenadine,pineapple,0.9762210399274298
95,rum,pineapple,0.9912407071619304
96,lemon/lime,pineapple,0.6546536707079771
97,milk,nutmeg,0.3020792700095994
98,rum,nutmeg,0.6332457874509643
99,milk,chocolate,0.3611575592573076
100,lemon/lime,champagne,0.8181818181818182
101,milk,rum,0.5888015039841447
102,amaretto,rum,0.40451991747794525
103,lemon peel,rum,0.5773502691896257
104,orange juice,rum,0.520475740526292
105,grenadine,rum,0.36851386559504434
106,pineapple,rum,0.9912407071619304
107,nutmeg,rum,0.6332457874509643
108,sweet and sour,rum,0.5897678246195885
109,ginger ale,rum,0.39528470752104733
110,powdered sugar,rum,0.6071428571428573
111,triple sec,rum,0.4925520549969521
112,coca-cola,rum,0.7543365091413573
113,pineapple juice,rum,0.4657780077916657
114,orange,rum,0.5222329678670935
115,brandy,rum,0.6810815188364806
116,egg white,rum,0.8819171036881969
117,carbonated water,rum,0.49999999999999994
118,bourbon,rum,0.8660254037844387
119,vodka,sweet and sour,0.9258200997725514
120,rum,sweet and sour,0.5897678246195885
121,brandy,sweet and sour,0.5773502691896258
122,vodka,soda water,0.26352313834736496
123,sugar,soda water,0.44562490985546127
124,ice,soda water,0.7559289460184546
125,orange juice,cranberry juice,0.2988071523335984
126,vodka,cranberry juice,0.4475633910915675
127,peach schnapps,cranberry juice,0.7905694150420948
128,pineapple juice,cranberry juice,0.720576692122892
129,lemon peel,scotch,0.5773502691896258
130,vodka,ginger ale,0.5773502691896258
131,rum,ginger ale,0.39528470752104733
132,ice,ginger ale,0.46770717334674267
133,tequila,lemon/lime,0.5247361959576216
134,gin,lemon/lime,0.29796881542704345
135,lemon peel,lemon/lime,0.7071067811865475
136,angostura bitters,lemon/lime,0.8283721253590283
137,orange juice,lemon/lime,0.677702829561266
138,vodka,lemon/lime,0.3119201586577675
139,ginger,lemon/lime,0.541283479221423
140,orange peel,lemon/lime,0.7559289460184545
141,grenadine,lemon/lime,0.23747841070424022
142,whiskey,lemon/lime,0.6892583559103141
143,pineapple,lemon/lime,0.6546536707079771
144,champagne,lemon/lime,0.8181818181818182
145,tomato juice,lemon/lime,0.7905694150420948
146,powdered sugar,lemon/lime,0.7050239879106326
147,sugar,lemon/lime,0.24251106420285518
148,mint,lemon/lime,0.5559594491425692
149,triple sec,lemon/lime,0.48245064067700777
150,creme de cassis,lemon/lime,0.9449111825230679
151,coca-cola,lemon/lime,0.6456079348093939
152,benedictine,lemon/lime,0.998625428903524
153,egg white,lemon/lime,0.496086378481867
154,maraschino cherry,lemon/lime,0.48795003647426655
155,cherry,lemon/lime,0.45065623352107126
156,vermouth,lemon/lime,0.6651330399133047
157,campari,lemon/lime,0.5
158,carbonated water,lemon/lime,0.42640143271122083
159,bourbon,lemon/lime,0.5752237416355278
160,water,cloves,0.5
161,sugar,cloves,0.4061811972299616
162,cinnamon,cloves,0.2545875386086578
163,lemon/lime,tomato juice,0.7905694150420948
164,gin,blue curacao,0.8660254037844385
165,vodka,blue curacao,0.3273268353539886
166,tequila,salt,0.6831300510639733
167,sugar,salt,0.4780914437337575
168,triple sec,salt,0.9819805060619659
169,vanilla extract,salt,0.49999999999999994
170,gin,powdered sugar,0.86991767240168
171,lemon peel,powdered sugar,0.9486832980505138
172,grenadine,powdered sugar,0.7559289460184545
173,whiskey,powdered sugar,0.6123724356957946
174,rum,powdered sugar,0.6071428571428573
175,lemon/lime,powdered sugar,0.7050239879106326
176,brandy,powdered sugar,0.7559289460184544
177,egg white,powdered sugar,0.408248290463863
178,milk,kahlua,0.944911182523068
179,milk,sugar,0.623903005188754
180,water,sugar,0.3602232346689459
181,gin,sugar,0.46101535189253157
182,lemon peel,sugar,0.4225771273642583
183,orange juice,sugar,0.22941573387056174
184,vodka,sugar,0.30543589044427627
185,soda water,sugar,0.44562490985546127
186,lemon/lime,sugar,0.24251106420285518
187,cloves,sugar,0.4061811972299616
188,salt,sugar,0.4780914437337575
189,club soda,sugar,0.7453559924999299
190,mint,sugar,0.4743416490252569
191,triple sec,sugar,0.5773502691896258
192,apple,sugar,0.5
193,food coloring,sugar,0.8660254037844386
194,ice,sugar,0.4930066485916347
195,vermouth,sugar,0.7559289460184546
196,tequila,grapefruit juice,0.9999999999999999
197,vodka,peach schnapps,0.5252257314388903
198,cranberry juice,peach schnapps,0.7905694150420948
199,vodka,club soda,0.9707253433941511
200,sugar,club soda,0.7453559924999299
201,lemon/lime,mint,0.5559594491425692
202,sugar,mint,0.4743416490252569
203,tequila,triple sec,0.3149183286488868
204,gin,triple sec,0.48663925173797884
205,rum,triple sec,0.4925520549969521
206,lemon/lime,triple sec,0.48245064067700777
207,salt,triple sec,0.9819805060619659
208,sugar,triple sec,0.5773502691896258
209,brandy,triple sec,0.3246172270321178
210,ice,triple sec,0.7777777777777778
211,amaretto,light cream,0.6666666666666667
212,lemon/lime,creme de cassis,0.9449111825230679
213,gin,coca-cola,0.6546536707079772
214,rum,coca-cola,0.7543365091413573
215,lemon/lime,coca-cola,0.6456079348093939
216,orange juice,pineapple juice,0.4743589743589742
217,grenadine,pineapple juice,0.332154431909686
218,rum,pineapple juice,0.4657780077916657
219,cranberry juice,pineapple juice,0.720576692122892
220,rum,orange,0.5222329678670935
221,sugar,apple,0.5
222,milk,cinnamon,0.9925232596048371
223,cloves,cinnamon,0.2545875386086578
224,vodka,coffee,0.8660254037844387
225,vanilla extract,coffee,0.9449111825230683
226,orange juice,brandy,0.7789711910621947
227,red wine,brandy,0.5960395606792697
228,vodka,brandy,0.8660254037844385
229,grenadine,brandy,0.7777777777777778
230,rum,brandy,0.6810815188364806
231,sweet and sour,brandy,0.5773502691896258
232,powdered sugar,brandy,0.7559289460184544
233,triple sec,brandy,0.3246172270321178
234,cherry,brandy,0.3333333333333333
235,gin,benedictine,0.5
236,lemon/lime,benedictine,0.998625428903524
237,grenadine,egg white,0.40824829046386296
238,rum,egg white,0.8819171036881969
239,lemon/lime,egg white,0.496086378481867
240,powdered sugar,egg white,0.408248290463863
241,milk,chocolate syrup,0.2773500981126146
242,water,food coloring,0.8660254037844386
243,sugar,food coloring,0.8660254037844386
244,lemon/lime,maraschino cherry,0.48795003647426655
245,vermouth,maraschino cherry,0.5773502691896257
246,bourbon,maraschino cherry,0.9428090415820635
247,gin,cherry,0.6153846153846154
248,lemon/lime,cherry,0.45065623352107126
249,brandy,cherry,0.3333333333333333
250,orange bitters,cherry,0.9733285267845753
251,salt,vanilla extract,0.49999999999999994
252,coffee,vanilla extract,0.9449111825230683
253,tequila,ice,0.9607689228305226
254,orange juice,ice,0.4700633956814718
255,soda water,ice,0.7559289460184546
256,ginger ale,ice,0.46770717334674267
257,sugar,ice,0.4930066485916347
258,triple sec,ice,0.7777777777777778
259,maraschino liqueur,vermouth,0.3333333333333333
260,lemon peel,vermouth,0.46562238031506015
261,lemon/lime,vermouth,0.6651330399133047
262,sugar,vermouth,0.7559289460184546
263,maraschino cherry,vermouth,0.5773502691896257
264,campari,vermouth,0.7453559924999299
265,orange juice,campari,0.8660254037844387
266,orange peel,campari,0.9432422182837986
267,lemon/lime,campari,0.5
268,vermouth,campari,0.7453559924999299
269,grenadine,carbonated water,0.5
270,rum,carbonated water,0.49999999999999994
271,lemon/lime,carbonated water,0.42640143271122083
272,maraschino liqueur,orange bitters,0.7071067811865475
273,cherry,orange bitters,0.9733285267845753
274,lemon peel,bourbon,0.870571500132014
275,rum,bourbon,0.8660254037844387
276,lemon/lime,bourbon,0.5752237416355278
277,maraschino cherry,bourbon,0.9428090415820635
